122,Planeación Estrategica,,1
123,Power Pivot: Un nuevo enfoque de business inteligence,,1
124,Power Point: Presentaciones Ejecutivas,,1
125,Presentaciones ejecutivas de alto impacto,,1
126,Profesionalización de la Empresa Familiar,,1
127,Programa de Alta Dirección en un Entorno Globalizado,,1
128,Programa Ejecutivo de Capacitación en el sector Energético,,1
129,Programa en  Dirección de Empresas Constructoras e Inmobiliarias,,1
130,Pronostico de la Demanda y Control de Inventarios,,1
131,Propiedad Intelectual,,1
132,Reingenieria de Procesos,,1
133,Relaciones Públicas y Comunicación Social,,1
134,Responsabilidades de los Servidores Públicos,,1
135,Seguridad Informatica,,1
136,Seguros,,1
137,Seminario Internacional de Estrategias Electorales y Politicas,,1
138,Sistema de Indicadores,,1
139,Taller de Coaching Existencial,,1
140,Taller de Desarrollo Organizacional,,1
141,Taller de Finanzas,,1
142,Taller de Formación de Capacitadores y Docentes,,1
143,Taller de Planeación Financiera,,1
144,Taller de Redacción Ejecutiva y Profesional,,1
145,"Taller de Redacción, Evaluación y Corrección de Textos Profesionales con Lenguaje Claro",,1
146,Taller de Liderazgo para el Alto Desempeño ,,1
147,Taller: Planeación Estrategica de Fuerzas de Ventas,,1
148,Usabilidad y Experiencia de usuario con sistemas interactivos: métodos y métricas,,1
149,Administración de Proyectos,,1
150,Administración Estrategica de Costos,,1
151,Análisis de Inversiones,,1
152,Análisis Político,,1
153,Cabildeo y Producción Jurídica,,1
154,Comercio Exterior y Operación Aduanera,,1
155,Contabilidad y Finanzas,,1
156,Control de Riesgos y Prevención de Fraudes,,1
157,Derecho Ambiental y Recursos Naturales,,1
158,Derecho Corporativo,,1
159,Derecho de las tecnologias de información y las comunicaciones,,1
160,Derecho Empresarial,,1
161,Derecho Inmobiliario: Temas Selectos y perspectivas del sector,,1
162,Derecho Tributario,,1
163,Derecho y Economía de la Regulación,,1
164,Derivados Financieros,,1
165,Desarrollo de Habilidades Gerenciales,,1
166,Desarrollo Humano y Trascendencia,,1
167,Desarrollo Organizacional,,1
168,Dirección de Recursos Humanos,,1
169,Dirección Estrategica en la Administración Pública,,1
170,Dirección y Desarrollo de Negocios,,1
171,Diseño y Desarrollo de Aplicaciones para Dispositivos Moviles,,1
172,Econometría,,1
173,Estadística Aplicada,,1
174,Herramienta de Mineria de datos para soporte en la toma de desiciones,,1
175,Administración de Empresas,,1
176,Administración de Empresas Turisticas,,1
177,Ingenieria en Sistemas de Información,,1
178,Ciencias y Técnicas de la Comunicación,,1
179,Psicología,,1
180,Tecnologías de la Información,,1
181,Contaduría,,1
182,Tecnología Educativa,,1
183,Diseño e Industria del Vestido,,1
184,Administración y Dirección Estratégica,,1
185,Turismo,,1
186,Diseño y Comunicación Gráfica,,1
187,Gastronomía,,1
